Conc_Nr;Composer;WorkNr;Modern Ed;Concordances;Comment
Conc_95;V.Gaultier;CLFVGa, N°66;;GB-Balcarres / 87 (2) - F-PnVmb7 / 2 - CH-Bu53 / 30v - D-B40068 / 24r - D-Bsa4060 / 81v - B-Br1037 / 74v - A-ETgoëssV / 1v - A-GÖ2 / 84v - US-CAh174 / 2r - S-Klm21068 / 8r - A-KR77 / 14v - PL-Lw1985 / 24v - S-LuG34 / 41r - S-LuG37 / 18v - GB-Ob618 / 10 - GB-Ob576 / 16 - F-Pn1106 / 80v - F-PnVmd15 / 44v - F-PnVmf51 / 15v - F-Pn6211 / 2r - F-Pn6212 / 41v - F-Pn6214 / 47v - F-Pn89 / 23 - D-RpAN62 / 26v - GB-LANh / F1v - D-ROu54 / 26 - F-Pn1110 / 26v - A-Wn17706 / 18v - D-SWl_640 / 57 (Angelique, d moll) - D-SWl_640 / 72 (Angélique, a moll) - D-SWl_641 / 138 - S-Skma3 / 76r (v) - D-OB1037 / 141v (kb) - Perrine1680 / 1 - S-K4a / 61v (kb) - S-K4b / 13v (kb) - S-Sk2 / 32 (kb) - S-Sk176 / 4 (kb) - S-S228 / 52v (kb) - S-SK493b / 21v (gt, kb);Contrepartie: Conc_2932
Conc_96;;;;GB-Balcarres / 115 - GB-En9452 / 2r;
Conc_97;;;;GB-Balcarres / 134 (1) - GB-Mr / 59;
Conc_98;R.Mesangeau;CLFMes, N°19;;Ballard1638 / 2;
Conc_99;R.Mesangeau;CLFMes, N°20;;Ballard1638 / 4;
Conc_100;R.Mesangeau;CLFMes, N°21;;Ballard1638 / 6 - GB-En9452 / 44v - GB-Eu_Coll2073 / 209v - D-Ngm33748-1 / 68r - D-HvonbuschHerhold / 2v - Hove1612 / 58v (1) - D-Kl_Montbuysson / 60r - F-Pn29 / 9r - I-PESc-b10 / 10v (1);
Conc_101;R.Mesangeau;CLFMes, N°22;;Ballard1638 / 7;
Conc_102;R.Mesangeau;CLFMes, N°23;;Ballard1638 / 8;
Conc_103;;;;Ballard1611 / 70 (Les Angéliques, Sixiesme) - I-TnIV23-2 / 1v;
Conc_104;R.Mesangeau;CLFMes, N°25;;Ballard1638 / 10 - GB-En9452 / 45r;
Conc_105;R.Mesangeau;CLFMes, N°26;;Ballard1638 / 11;
Conc_106;R.Mesangeau;CLFMes, N°27;;Ballard1638 / 12;
Conc_107;R.Mesangeau;CLFMes, N°28;;Ballard1638 / 13 - F-Pn1404 / 18v;
Conc_108;R.Mesangeau;CLFMes, N°29;;Ballard1638 / 14 - RogerON(12)1713 / 15 (2);cf. PL-Lzu3779 / 24v
Conc_109;R.Mesangeau;CLFMes, N°30;;Ballard1638 / 15;
Conc_110;R.Mesangeau;CLFMes, N°31;;Ballard1638 / 16;
Conc_111;R.Mesangeau;CLFMes, N°32;;Ballard1638 / 18;
Conc_112;R.Mesangeau;CLFMes, N°33;;Ballard1638 / 20;
Conc_113;R.Mesangeau;CLFMes, N°34;;Ballard1638 / 22 - GB-CtcO162 / 109 - GB-En9449 / 26v - GB-ObSch-b2 / 86 - F-Pn1404 / 23 - GB-EnDep314 / 32r (2) - D-Mbs21646 / 14v (3);
Conc_114;R.Mesangeau;CLFMes, N°35;;Ballard1638 / 23;
Conc_115;R.Mesangeau;CLFMes, N°36;;Ballard1638 / 24 - F-Pn1404 / 25r;
Conc_116;Der thoricht spricht es ist kein Gott;CLFMes, N°37;;Ballard1638 / 25;
Conc_117;F.Dufault;CLFDuf, N°2;;Ballard1638 / 26;
Conc_118;F.Dufault;CLFDuf, N°7;;Ballard1638 / 28 - B-Br1037 / 10v - GB-En9449 / 35v;
Conc_119;F.Dufault;CLFDuf, N°28;;Ballard1638 / 30 - GB-En9449 / 35r;
Conc_120;F.Dufault;CLFDuf, N°29;;Ballard1638 / 32;Partie to f. 58v
Conc_121;F.Dufault;CLFDuf, N°48;;Ballard1638 / 33;
Conc_122;F.Dufault;CLFDuf, N°80;;Ballard1638 / 34 - Guillaume de Luyne 'Receuil de tous les plus beaux airs Bachiques' (1671);
Conc_123;Bouvier or F.Dufault;CLFCha, N°21 (Bouvié) - CLFDuf, N°81;;B-Bc5616 / 72v - Ballard1638 / 35 - D-ROu54 / 286 - Ballard1638 / 52 - F-Pn6211 / 38 - Moulinié 5° Livre d'Airs de cour (1639 ) / 16v - RogerON(11)1713 / 17 (3);
Conc_124;F.Dufault;CLFDuf, N°13;;Ballard1638 / 36;
Conc_125;F.Dufault;CLFDuf, N°30;;Ballard1638 / 38 - A-ETgoëssVI / 27v - B-Br276 / 50v - D-ROu54 / 314;
Conc_126;F.Dufault;CLFDuf, N°49;;Ballard1638 / 39;
Conc_127;Du But;CLFDub, N°1;;Ballard1638 / 54 (Entree Du But) - F-Pn6211 / 41v;
Conc_128;Du But or Pinel;CLFDub, N°7;;Ballard1638 / 56 (Allemande Du But) - F-Pn6211 / 42v - F-B279152 / 8 (Allemande de Pinel);
Conc_129;Du But;CLFDub, N°26;;Ballard1638 / 58 - F-PnVm7-370 / 7v - D-LEm6-24 / 42v - F-Pn6211 / 43r - F-Pn6212 / 43v - F-PnVmf51 / 5v - D-ROu54 / 174 - D-SWl_641 / 140;
Conc_130;Du But;CLFDub, N°78;;Ballard1638 / 60 (Sarabande Du But) - F-Pn6211 / 43v;
Conc_131;Du But;CLFDub, N°79;;Ballard1638 / 61 (Sarabande Du But) - F-Pn6211 / 42r - D-Kl_61.l(1) / 15v (baryton);
Conc_132;Pinel or V.Gaultier;CLFVGa, N°64 - CLFVGa, N°72;;F-PnVmb7 / 5 - GB-Ob618 / 28 (Bocquet) - Perrine1680 / 24 - D-ROu54 / 78 (Pinelle);
Conc_133;V.Gaultier or D.Gaultier;CLFVGa, N°27 - CLFDGa, N°99;;F-PnVmb7 / 6 - D-B40600 / 10v - F-PnVm7-370 / 3v - GB-En9451 / 21v - D-LEm6-24 / 44v - S-LuG34 / 46r - GB-Ob618 / 4 - Perrine1680 / 39 - F-Pn6211 / 1v - F-Pn6211 / 5v - F-PnVmf51 / 60r - D-ROu54 / 41 - A-Wn17706 / 3v;
Conc_134;V.Gaultier or Mésangeau;CLFMes, N°49 - CLFVGa, N°43;;F-PnVmb7 / 8 - F-PnVm7-370 / 6v - F-Pn6211 / 7 - F-PnVm7-675 / 127 (gt) - F-B279153 / 94 - Suittes faciles / 9 (fl, vl, bc);
Conc_135;Pinel;CLFPin, N°81;;F-PnVmb7 / 9 - D-B40264 / 131 - A-GÖ2 / 25v - D-Bsa4060 / 82v - D-LEm6-24 / 41v - F-Pn6213 / 6 - D-ROu54 / 19 - D-SWl_641 / 146;
Conc_136;Pinel;CLFPin, N°40;;F-PnVmb7 / 10 - F-Pn1110 / 14v;
Conc_137;Pinel;CLFPin, N°71;;F-PnVmb7 / 11;
Conc_138;Jacques Gallot;CLFGal, N°43;;F-PnVmb7 / 14 - D-LEm6-14 / 18v;
Conc_139;Jacques Gallot;CLFGal, N°52;;F-PnVmb7 / 15 - A-GÖ2 / 23r - D-Bsa4060 / 79v - D-LEm6-14 / 27v - CZ-NlobKk83 / 4 - D-BFbCha60 / 134r (fragment) - D-BFbCha60 / 113v;
Conc_140;F.Dufault;CLFDuf, N°42;;F-PnVmb7 / 16 - D-LEm6-24 / 18v - CZ-BsaE4-1040 / 9v (theorb cister);
Conc_141;Merville;;;GB-En9452 / 30v - A-KR81 / 34r - GB-Ob411 / 76v - GB-LblEg2046 / 48v (2) - CZ-PnmIVG18 / 194v - F-Pn1404 / 62r (2) - US-Rm186 / 58 - D-Mbs21646 / 22v (1) - D-Mbs21646 / 84v (2) - D-Mbs21646 / 85r (4) - D-Mbs21646 / 89v (1) - RA-BAn / 111v - RUS-SPanON124 / 69r - GB-Ob410-4 / N°5 (lyra, viol and others) - Hoffmann / 17v - GB-Ob94 / 134r (gt);cf. Conc_1774
Conc_142;Bocquet or V.Gaultier;CLFBocII, N°10 - CLFVGa, N°6;;F-PnVmb7 / 22 - F-PnVm7-370 / 18v - F-Pn823 / 94v - GB-LANh / D4r - B-Br1037 / 11v;
Conc_143;V.Gaultier or D.Gaultier;CLFDGa, N°96 - CLFDGa, N°29 - CLFVGa, N°11;;B-Bc5616 / 26v (h moll) - B-Bc5616 / 36v (h moll, part B) - D-Bsa4060 / 16v - F-PnVmb7 / 27 - B-Br276 / 26r - D-DS18 / 8v (kb) - GaultierPieces / 80 - A-ETgoëssI / 121v - PL-Kj40593 / 34 - F-Pn823 / 88v - Perrine1680 / 57 - PL-Pu7033 / 43 - CZ-NlobKk84 / 59v - Rhetorique / 250 - F-B279152 / 41 - Suittes faciles / 2 (fl, vl, bc) - A-Wn17706 / 15;Contrepartie: Conc_144 + Conc_4180
Conc_144;V.Gaultier or D.Gaultier;RISM A/I G 588/ n°80 - CLFVGa, N°11;;D-B4230 / 48v;Partie: Conc_143, diff. Contrepartie: Conc_4180
Conc_145;D.Gaultier;CLFDGa, N°31;;F-PnVmb7 / 29 - GB-Lam614 / 63 - GaultierPieces / 84 - F-Pn823 / 100v - F-PnVmf51 / 47v - CZ-NlobKk84 / 61v - Rhetorique / 228 - A-Wgm7763-92 / 29v - D-Bsa4060 / 63v;
Conc_146;V.Gaultier or D.Gaultier;CLFVGa, N°36 - CLFDGa, N°91;;F-PnVmb7 / 30 - F-PnVm7-370 / 23v - B-Bc5616 / 31v (h moll) - D-Bsa4060 / 17v - B-Br276 / 22v - B-Br1037 / 3v - A-ETgoëssV / 9v - A-ETgoëssVI / 11v - A-GÖ2 / 79v - PL-Kj40593 / 36 - F-Pn823 / 89v - GB-Ob617 / 36 - F-Pn6212 / 67v - F-Pn6214 / 50v - CZ-NlobKk84 / 6v - Rhetorique / 232 - F-B279152 / 38 - F-B279153 / 16 - A-Wgm7763-92 / 28v - D-Fschneider12 / 14 - S-Ssmf1 / 2v - A-Wn17706 / 10v - CZ-NlobKk77 / 39v (gt) - CZ-NlobKk77 / 80v (gt);
Conc_147;D.Gaultier;CLFVGa, N°36bis;;F-PnVmb7 / 31 - F-PnVm7-370 / 26v - D-Bsa4060 / 18v - B-Br276 / 23r-24r - A-ETgoëssV / 10v - F-Pn823 / 90v - GB-Ob617 / 38 - F-Pn6214 / 56v - CZ-NlobKk84 / 7v - F-B279152 / 38 - F-B279153 / 16;
Conc_148;Jacques Gallot;CLFGal, N°99;;F-PnVmb7 / 32 - A-GÖ2 / 86v - GB-Ob617 / 22 - F-B279152 / 63 - D-Bsa4060 / 29av;
Conc_149;Jacques Gallot;CLFGal, N°20;;F-PnVmb7 / 34 - GallotPieces / 47 - A-GÖ2 / 88r - F-B279153 / 130 - D-Bsa4060 / 26r;
Conc_150;Jacques Gallot;CLFGal, N°21;;F-PnVmb7 / 35 - GallotPieces / 49 - A-GÖ2 / 88v - D-Bsa4060 / 23v - GB-Ob576 / 26 - F-B279153 / 132;
Conc_151;Jacques Gallot;CLFGal, N°98;;F-PnVmb7 / 36 - A-ETgoëssIII / 46v - A-GÖ2 / 10v - D-Bsa4060 / 39v - S-Klm21068 / 6v - PL-Kj40633 / 10v - PL-Lw1985 / 62v - GB-Ob617 / 25 - F-PnF844 / 101 - F-PnF844 / 124 - F-B279152 / 60 - F-B279153 / 120 - D-Kl4°289 / 1 (gamba) - D-SÜNms58 / 28v;Cf. Conc_152
Conc_152;S.L.Weiss (Arr.);WeissSW 8* (Sm 82) - WeissSW 76.2 - WeissSW 64.1;;GB-LblAdd30387 / 66v - A-ROI / 6r - A-ROI / 8v - F-PnThII / 25v (Variante in g-moll) - D-ROu52-2 / 29v;Cf. Conc_151
Conc_153;Jacques Gallot;CLFGal, N°97;;F-PnVmb7 / 38;Contrepartie of f. 73r (2)
Conc_154;Du But le Fils;CLFDub, N°91;;F-PnVmb7 / 39 - F-B279153 / 8 - D-SWl_640 / 85 (Angélique);Contrepartie: Conc_4251
Conc_155;Du But le Fils;CLFDub, N°92;;F-PnVmb7 / 40 - F-PnVm7-370 / 22v - F-B279153 / 11 - D-Bsa4060 / 44v;
Conc_156;Du But Le Fils or V.Gaultier;CLFDub, N°125 - CLFVGa, N°55;;D-Bsa4060 / 6v - F-PnVmb7 / 41 (DuBut) - F-PnVm7-370 / 25v - B-Br276 / 28v - F-PnThII / 47v (3) - GB-Ob617 / 64 - F-B279152 / 58 - F-B279153 / 118;Contrepartie: Conc_4262
Conc_157;Du But;CLFDub, N°43;;F-PnVmb7 / 43 - A-ETgoëssV / 5v - A-GÖ2 / 89v - PL-Lw1985 / 63v - F-B279152 / 50 - A-Wn17706 / 20r - F-PnVmd15 / 145v - F-PnVm7-6265 / 86r - D-Bsa4060 / 50v - D-BFbCha60 / 140r - GB-Ob617 / 74 - D-SWl_640 / 29 (Angélique) - GB-Ob576 / 24;Contrepartie: Conc_158
Conc_158;Du But;CLFDub, N°42bis;;F-B279152 / 50 (2);Partie: Conc_157
Conc_159;Du But;CLFDub, N°113;;F-PnVmb7 / 44 - F-B279152 / 57;
Conc_160;Ch.Mouton;CLFMou, N°14;;F-PnVmb7 / 46 - PL-Lw1985 / 87v - PL-LZu3779 / 22v - F-Pn823 / 85v - MoutonI / 28 - GB-Ob617 / 8 - CZ-PnmE36 / 162;
Conc_161;Jacques Gallot;CLFGal, N°25;;F-PnVmb7 / 47 - GallotPieces / 57 - A-GÖ2 / 83v - F-B279153 / 100 - D-Bsa4060 / 32v - D-SWl_640 / 54 (Angélique) - S-LuG34 / 7v - S-LuG34 / 49r;
Conc_162;Gallot Le Jeune;CLFGal, N°2;;CZ-NlobKk83 / 12 - D-Bsa4060 / 52v - F-PnVmb7 / 48 - PL-Lw1985 / 30v;
Conc_163;Pierre Gallot / Le Jeune;CLFGal, N°1;;F-PnVmb7 / 49 - A-ETgoëssV / 8v (arr) - PL-Lw1985 / 29v - CZ-NlobKk83 / 10 - US-NYpMYO / 58r;
Conc_164;Du But;CLFDub, N°51;;F-PnVmb7 / 50;
Conc_165;Du But or Jacques Gallot;CLFDub, N°52 - CLFGal p. XXXI and LVI;;CZ-NlobKk83 / 28 - F-PnVmb7 / 51;
Conc_166;Du But;CLFDub, N°93;;F-PnVmb7 / 52;
Conc_167;Du But;CLFDub, N°128;;F-PnVmb7 / 53;
Conc_168;Du But;CLFDub, N°111;;F-PnVmb7 / 54;
Conc_169;Pinel;CLFPin, N°13;;F-PnVmb7 / 58 - D-B40068 / 54v - D-B40068 / 55 - D-B40264 / 189 - D-B40600 / 7v - D-B40601 / 47v - A-Wengel / 11 (1) - A-GÖ2 / 46v - D-Bsa4060 / 146v - D-LEm6-24 / 84v - GB-LblAdd16889 / 72v - D-ROu54 / 232 - F-Pn1110 / 65v - F-Pn89 / 37 - D-Kl_61.l(1) / 13r (baryton) - D-SWl_641 / 46 - F-B279153 / 50;Contrepartie: Conc_550
Conc_170;Pinel;CLFPin, N°45;;A-ETgoëssTh / 14v - A-ETgoëssTh / 15v - F-PnVmb7 / 61;
Conc_171;Delauney or Pinel;CLFPin, N°22;TREE Ed. Klosterneuburg Lute Book (Michael Treder);F-PnVmb7 / 62 (Delauney) - D-B40068 / 49r - D-Bsa4060 / 143v - A-KN1255 / 64v - A-KN1255 / 65v - D-LEm6-24 / 87.1v - D-LEm6-24 / 87.2v - F-Pn823 / 65v (Delauney) - GB-Ob576 / 40 - F-Pn6213 / 10 - CZ-NlobKk84 / 2v - D-RpAN62 / 15v - A-Wn17706 / 5r - A-Wgm7763-92 / 46v - S-Klm21072 / 14v;
Conc_172;V.Gaultier;CLFVGa, N°41;;F-PnVmb7 / 63 - GB-LANh / C5v;
Conc_173;F.Dufault;CLFDuf, N°83;;B-Br276 / 5v - F-PnVmb7 / 64;
Conc_174;F.Dufault;CLFDuf, N°63;;B-Br276 / 9v - F-PnVmb7 / 65 - D-B40068 / 59v - D-B40601 / 61v - D-LEm6-24 / 58v;
Conc_175;Charles Mouton;CLFMou, N°12;;MoutonI / 24 - GB-Ob617 / 68 - CZ-PnmE36 / 158;
Conc_176;F.Dufault;CLFDuf, N°64;;B-Br276 / 4r - F-PnVmb7 / 67 - D-Bsa4060 / 150v - D-SWl_640 / 53 (Angélique) - Suittes faciles / 20 (fl, vl, bc) - F-Pn89 / 45;Contrepartie: Conc_3885
Conc_177;Jacques Gallot;CLFGal, N°81;;F-PnVmb7 / 68 - D-B40149 / 88 - A-ETgoëssV / 38v - PL-Kj40620 / 95v - D-LEm6-14 / 60v;
Conc_178;Du But;CLFDub, N°53;;F-PnVmb7 / 69;
Conc_179;;;;F-PnThII / 39v (2) - PL-Wu2010 / 28;
Conc_180;Emond;;;F-PnVmb7 / 77 - B-Br276 / 95v - D-Bsa4060 / 96v - F-Pn6216 / 4r - A-GÖ2 / 8v;
Conc_181;V.Gaultier or D.Gaultier;CLFDGa, N°101 - CLFVGa, N°34;;F-PnVmb7 / 78 - B-Bc5616 / 52v - D-DS1655 / 49v - PL-Lw1985 / 72r - D-ROu54 / 312 - F-PnVmf51 / 42v;
Conc_182;F.Dufault;CLFDuf, N°78;;B-Br276 / 51v - F-PnVmb7 / 80 (Sauterelle Dufaux) - F-Pn6216 / 4v;
Conc_183;F.Dufault;CLFDuf, N°65;;F-PnVmb7 / 81 - B-Br276 / 54v;
Conc_184;Jacques Gallot;CLFGal, N°68;;F-PnVmb7 / 82 - A-GÖ2 / 110v - GB-Lbl1868 / 185 - S-Klm21072 / 65v - PL-Kj40620 / 114v - A-KR78 / 46v - A-KR79 / 99v - D-Bsa4060 / 100v - D-LEm6-14 / 46v - CZ-NlobKk73 / 17 - F-B279152 / 26;
Conc_185;Jacques Gallot;CLFGal, N°69;;F-PnVmb7 / 84 - GB-Lbl1868 / 185 - S-Klm21072 / 66v - GB-Ob616 / 24 - D-Bsa4060 / 117v - D-LEm6-14 / 47v - CZ-NlobKk73 / 19 - F-PnThII / 47r (3);
Conc_186;Jacques Gallot;CLFGal, N°73;;F-PnVmb7 / 85 - A-GÖ2 / 14v - D-LEm6-14 / 51r - D-Bsa4060 / 102v - GB-Lbl1868 / 186 - GB-Ob616 / 28 - F-B279152 / 24 - F-PnThII / 47r (2) - S-Klm21072 / 67r;
Conc_187;Jacques Gallot;CLFGal, N°70;;F-PnVmb7 / 86 - D-LEm6-14 / 48v;
Conc_188;Du But;CLFDub, N°10;;F-PnVmb7 / 88 - F-Pn6212 / 34v - F-B279152 / 27 - F-PnThII / 45v (1) - A-Wn17706 / 11v - A-Wgm7763-92 / 49v;
Conc_189;Du But Pierre;CLFDub, N°15;;F-PnVmb7 / 89 - CZ-Bm371 / 73 (1) - F-Pn1106 / 62v (Th) - F-Pn1106 / 63r (Th) - F-B279153 / 24 - F-PnThII / 46r (2);Contrepartie: Conc_190
Conc_190;Du But;;;D-B4230 / 44v;Partie: Conc_189
Conc_191;Campra;;;F-Pn1106 / 32v - F-Pn1106 / 33r;
Conc_192;;;;F-B279152 / 402 - F-Pn1106 / 53r;
Conc_193;Du But;CLFDub, N°115;;F-PnVmb7 / 92 (1);
Conc_194;Du But;CLFDub, N°116;;D-Bsa4060 / 127v - F-PnVmb7 / 92 (2);
Conc_195;Du But;CLFDub, N°112;;F-PnVmb7 / 93 - D-Bsa4060 / 109v;
Conc_196;D.Gaultier;CLFDGa, N°3;;F-PnVmb7 / 100 - B-Br276 / 104v - GaultierPieces / 12 - A-ETgoëssTh / 76v - D-LEm6-24 / 113v - PL-Lw1985 / 8v - F-Pn823 / 71v - F-Pn6211 / 12r - F-Pn6214 / 64v - CZ-NlobKk84 / 23v;
Conc_197;D.Gaultier;CLFDGa, N°3a;;F-PnVmb7 / 101 - B-Br276 / 105r - GaultierPieces / 13 - A-ETgoëssTh / 77v - F-Pn6214 / 66r - CZ-NlobKk84 / 24r;
Conc_198;D.Gaultier;CLFDGa, N°7;;F-PnVmb7 / 102 - B-Br276 / 108v - GaultierPieces / 26 - F-Pn6211 / 11r - CZ-NlobKk84 / 30v - F-PnThII / 48v (2);
Conc_199;D.Gaultier;CLFDGa, N°14;;F-PnVmb7 / 106 - GaultierPieces / 45 - A-ETgoëssTh / 75v - A-ETgoëssV / 16v - F-Pn6211 / 10v - CZ-NlobKk84 / 40v - D-Bsa4060 / 219v;
Conc_200;D.Gaultier;CLFDGa, N°7a;;CZ-NlobKk84 / 31r - F-PnVmb7 / 103 - GaultierPieces / 27 - F-PnThII / 48v (3);
Conc_201;D.Gaultier;CLFDGa, N°6;;F-PnVmb7 / 104 - GaultierPieces / 22 - A-ETgoëssTh / 80v - CZ-NlobKk84 / 28v - D-Bsa4060 / 229v;Double: Conc_202
Conc_202;D.Gaultier;CLFDGa, N°6a;;F-PnVmb7 / 105 - GaultierPieces / 23 - A-ETgoëssTh / 81v - CZ-NlobKk84 / 29r - F-PnThII / 48v (1, 2nd part only) - D-Bsa4060 / 230v;Double of: Conc_201
Conc_203;D.Gaultier;CLFDGa, N°5;;F-PnVmb7 / 107 - GaultierPieces / 20 - D-Bsa4060 / 225v - D-LEm6-24 / 114v - PL-Lw1985 / 4v - CZ-NlobKk84 / 27v;
Conc_204;D.Gaultier;CLFDGa, N°12;;F-PnVmb7 / 108 - B-Br276 / 107v - A-ETgoëssTh / 84v - GaultierPieces / 40 - US-CAh174 / 51 - D-Bsa4060 / 225r - D-LEm6-24 / 111v - PL-Lw1985 / 4r - PL-Lw1985 / 87v (3) - F-Pn6211 / 10r - CZ-NlobKk84 / 37v;
Conc_205;Du But le Fils;CLFDub, N°120;;F-PnVmb7 / 109 - B-Br276 / 110v - F-B279152 / 94 (2);
Conc_206;D.Gaultier;CLFDGa, N°40;;F-PnVmb7 / 112 - D-B40068 / 71v - GaultierLivre / 42 - GB-Ob618 / 99 - Rhetorique / 25 (La Dedicasse) - D-Bsa4060 / 239v;
Conc_207;D.Gaultier;CLFDGa, N°108;;F-PnVmb7 / 113 - GB-Ob618 / 116 - D-Fschneider12 / 11;
Conc_208;V.Gaultier or D.Gaultier;;;F-PnVmb7 / 114 (Courante Gaultier) - F-Pn6214 / 54v (Gaultier) - CZ-NlobKk84 / 65v (Courante) - GB-LANh / G2r - D-Fschneider12 / 1;
Conc_209;D.Gaultier;CLFDGa, N°43;;F-PnVmb7 / 115 - GaultierLivre / 48 - D-Bsa4060 / 243v - D-LEm6-24 / 23v - F-Pn6213 / 20 (1) - F-Pn6214 / 55v - CZ-NlobKk84 / 69v - Rhetorique / 31 ('Minerve') - D-Fschneider12 / 2;
Conc_210;D.Gaultier;CLFDGa, N°42;;F-PnVmb7 / 116 - D-B40600 / 15v - B-Bc5616 / 33v - PL-Kj40620 / 80v - D-LEm6-24 / 22v - GaultierLivre / 46 - GB-Ob618 / 106 - F-Pn6213 / 18 - CZ-NlobKk84 / 70v - Rhetorique / 34 ('Ulisse') - D-Fschneider12 / 6 - A-Wn17706 / 20r;
Conc_211;D.Gaultier;CLFDGa, N°42a;;CZ-NlobKk84 / 71v - F-Pn6213 / 18 (2) - GB-Ob618 / 108;
Conc_212;D.Gaultier;CLFDGa, N°44;;F-PnVmb7 / 117 - GaultierLivre / 50 - CZ-NlobKk84 / 67v - Rhetorique / 38 - D-Fschneider12 / 4;
Conc_213;Emond;;;F-PnVmb7 / 118 - F-PnVm7-370 / 128v - A-GÖ2 / 28v - GB-LANh / G4v - F-B279152 / 129 (2) - US-CAh174 / 38;
Conc_214;V.Gaultier;CLFVGa, N°54;;F-PnVmb7 / 124 - B-Bc5616 / 25v - B-Br276 / 98v - A-ETgoëssI / 30v - D-Bsa4060 / 285v - F-Pn823 / 55v - CZ-NlobKk84 / 11v - GB-LANh / A2r - F-B279152 / 212 - F-B279153 / 36 - PL-Pu7034 / 27v;Contrepartie: Conc_215
Conc_215;V.Gaultier;;;D-B4230 / 70v;Partie: Conc_214
Conc_216;Ch.Mouton;CLFMou, N°32;;F-PnVmb7 / 126 - F-Pn823 / 42v - MoutonII / 8 - D-Bsa4060 / 297v - D-Bsa4060 / 305v;"cf. Conc_1932; Contrepartie: Conc_543"
Conc_217;Ch.Mouton;CLFMou, N°32bis;;F-PnVmb7 / 127 - F-Pn823 / 43v - MoutonII / 10;
Conc_218;Ch.Mouton;CLFMou, N°40;;F-PnVmb7 / 128 - MoutonII / 26;
Conc_219;Ch.Mouton;CLFMou, N°33;;F-PnVmb7 / 129 - MoutonII / 12;
Conc_220;Ch.Mouton;CLFMou, N°43;;F-PnVmb7 / 130 - MoutonII / 34 - D-Bsa4060 / 289v - CZ-NlobKk79_2 / 34;
Conc_221;Ch.Mouton;CLFMou, N°35;;"F-PnVmb7 / 131 - MoutonII / 17 (""La Dissimulée"") - F-Pn823 / 47v - D-Bsa4060 / 299r - CZ-Bm371 / 76";
Conc_222;Ch.Mouton;CLFMou, N°39;;F-PnVmb7 / 132 - F-Pn823 / 45v - MoutonII / 24 - D-Bsa4060 / 304v - D-Bsa4060 / 309v;
Conc_223;Jacques Gallot;CLFGal, N°3;;F-PnVmb7 / 134 - CZ-Bm371 / 75 - F-PnVm7-370 / 177v - B-Br276 / 115v - GallotPieces / 9 - A-KR79 / 102v - D-Bsa4060 / 274v - PL-Lw1985 / 86v - F-Pn823 / 59v - F-B279152 / 213 - F-B279152 / 409;
Conc_224;Jacques Gallot;CLFGal, N°56;;F-PnVmb7 / 136 - CZ-Bm371 / 76 - F-PnVm7-370 / 176v - D-Bsa4060 / 290v - D-LEm6-14 / 33v - CZ-NlobKk83 / 32 - B-Br276 / 116v;
Conc_225;Jacques Gallot;CLFGal, N°62;;F-PnVmb7 / 137 - F-PnVm7-370 / 179v - D-Bsa4060 / 292v - D-LEm6-14 / 39v - CZ-NlobKk83 / 42 - F-B279153 / 91 - B-Br276 / 117v;
Conc_226;Jacques Gallot;CLFGal, N°6;TREE Ed. Klosterneuburg Lute Book (Michael Treder);F-PnVmb7 / 138 - F-PnVm7-370 / 176r - GallotPieces / 15 - A-ETgoëssIII / 75r - A-KN1255 / 24v - F-Pn823 / 61v - D-Bsa4060 / 293v - F-B279152 / 208 - F-B279152 / 214 - F-B279152 / 411;
Conc_227;Jacques Gallot;CLFGal, N°15;;F-PnVmb7 / 140 - GallotPieces / 37 - F-B279152 / 419 - D-Bsa4060 / 296v;
Conc_228;Jacques Gallot;CLFGal, N°57;;F-PnVmb7 / 141 - D-LEm6-14 / 34v - CZ-NlobKk83 / 38 - D-Bsa4060 / 278v;
Conc_229;Jacques Gallot;CLFGal, N°4;;F-PnVmb7 / 142 - GallotPieces / 11 - F-B279152 / 410 - D-Bsa4060 / 295v;
Conc_230;V.Gaultier;CLFVGa, N°60;;F-PnVmb7 / 151 - GB-Ob617 / 100;
Conc_231;V.Gaultier;CLFVGa, N°52 - , N°56;;F-PnVmb7 / 154 - B-Bc5616 / 25r (part A) - B-Bc5616 / 61v (part C) - B-Bc5616 / 62v (part A,B,C) - B-Bc5616 / 64r (start of part C erased) - B-Bc5616 / 64v (part A,B) - D-LEm6-14 / 76v - CZ-NlobKk80 / 78 - F-PnVm7-674-675 III / 45r (kb) - PL-Pu7034 / 25v - D-Bsa4060 / 265v - D-Bsa4060 / 267v;Contrepartie: Conc_3823 (only part A)
Conc_232;Gaultier;;;F-PnVmb7 / 157 - F-PnVm7-370 / 154r - F-Pn48 / 93v - F-Pn823 / 54v - GB-Ob617 / 104 - CZ-NlobKk80 / 68 - CZ-NlobKk84 / 74v - F-AIXm17 / 105r - D-SWl_641 / 117;
Conc_233;;;;D-B40627 / 36r - PL-Wn396 / 126r;
Conc_234;Emond;;;F-PnVmb7 / 160 - A-ETgoëssI / 69v - F-B279152 / 155;
Conc_235;D.Gaultier;CLFDGa, N°54;;F-PnVmb7 / 164 - GaultierLivre / 86 - A-ETgoëssTh / 85v;
Conc_236;D.Gaultier;CLFDGa, N°23;;F-PnVmb7 / 165 - GaultierPieces / 64 - CZ-NlobKk84 / 51v;
